00:00:00,00:00:03,spk_0,Le todo el próximo capítulo en voz alta.
00:00:03,00:00:07,spk_0,"Cuando veas una oración azul, mueve los dibujos."
00:00:08,00:00:13,spk_1,"read the next chapter out loud when you see a blue sentence, move the"
00:00:13,00:00:15,spk_0,pictures.
00:00:16,00:00:19,spk_0,Hay más cosas por hacer en esta oración.
00:00:19,00:00:22,spk_1,there's more to do for this sentence.
00:00:22,00:00:27,spk_2,"He co-. Bueno, entiende un juego?"
00:00:27,00:00:29,spk_2,"bueno, jugando"
00:00:30,00:00:32,spk_2,españo.
00:00:33,00:00:49,spk_2,"que no debía volver muy cosa en español. En la tasa diseño se habla español y entonces no, pero este en la casa no sea, Pero ese cucha en español no voy diciendo Hay Mames un poco por no querer perder doce aquí en la casa también tiene que hablar español."
00:00:51,00:00:54,spk_0,Hay más cosas por el jueves. Gracias.
00:00:55,00:00:57,spk_0,do you live?
